HOME,0,90,0,-90,90
ZERO,-18,158,-90,-16,10
READY 3,-14,90,0,-167,2
ABOUT TO GRIP 3,-17,109,-90,-153,3
SAFE HOME,10,148,-90,-153,3
ABOUT TO GRIP 2,10,148,-90,-153,3
ABOUT TO GRIP 1,35,110,-90,-153,3
GRIP 3,-17,109,-90,-153,3
SAFE AFTER GRIP 3,-17,148,-90,-153,3
SAFE AFTER GRIP 1,35,153,-90,-153,3
THROW 3,-56,109,-90,-153,3
THROW 1,70,110,-90,-153,3
